English,Polish
hospital,szpital
street,ulica
hang,powiesić
dance,taniec
meeting,spotkanie
till,do
others,inni
catch,złapać
follow,podążać
sense,sens
sex,seks
lie,kłamstwo
evening,wieczór
master,gospodarz
known,znany
dream,marzenie
write,pisać
million,milion
voice,głos
sweet,słodki
rather,raczej
felt,filc
sign,podpisać
lucky,mający szczęście
somewhere,gdzieś
bet,Zakład
o,o
jesus,Jezus
longer,dłużej
calling,powołanie
worked,pracował
quiet,cichy
looked,wyglądał
less,mniej
pull,ciągnąć
beat,pokonać
careful,ostrożny
coffee,Kawa
return,powrót
secret,sekret
weeks,tygodnie
weren,Weren
date,data
seeing,widzenie
fall,jesień
given,dany
ooh,ooh
fault,wada
straight,prosty
takes,trwa
song,piosenka
future,przyszły
gentlemen,Panowie
loved,kochany
changed,zmienione
road,droga
calm,spokój
wonderful,wspaniały
mad,szalony
turned,obrócony
drop,upuszczać
ladies,damski
learn,uczyć się
step,krok
absolutely,absolutnie
early,wczesny
explain,wyjaśnić
clean,czysty
piece,sztuka
yesterday,Wczoraj
throw,rzucić
picture,zdjęcie
land,grunt
feet,stopy
wonder,zastanawiać się
questions,pytania
speaking,mówienie
worth,wartość
darling,Kochanie
dude,gość
giving,dający
president,prezydent
eye,oko
quick,szybki
moving,poruszający
figure,postać
state,państwo
strong,mocny
sam,Sam
none,nic
amazing,niesamowity
ones,te
works,Pracuje
act,działać
needed,potrzebne
weird,dziwny
law,prawo
worried,zmartwiony
report,raport
goodbye,do widzenia
missing,zaginiony
choice,wybór
happening,wydarzenie
chief,szef
wedding,ślub
strange,dziwny
general,ogólny
pain,ból
am,jestem  
kidding,żart
decided,zdecydowany
ya,ya
pass,przechodzić
tired,zmęczony
class,klasa
officer,oficer
kept,trzymane
wake,budzić
worse,gorzej
busy,zajęty
eh,Eh
mistake,błąd
kiss,pocałunek
court,sąd
building,budynek
finish,skończyć
during,podczas
age,wiek
ship,statek
caught,złapany
marry,ożenić
meant,oznaczał
sell,sprzedać
dark,ciemny
watching,oglądanie
system,system
suppose,przypuszczać
evidence,dowód
movie,film
ride,jeździć
t,T
completely,całkowicie
mouth,usta
totally,całkowicie
birthday,urodziny
tv,telewizja
forgive,Wybacz
born,urodzić się
imagine,wyobrażać sobie
information,Informacja
instead,Zamiast
definitely,zdecydowanie
security,bezpieczeństwo
certainly,z pewnością
film,film
month,miesiąc
lying,kłamliwy
unless,chyba że
train,pociąg
seven,siedem
wear,nosić 
clothes,odzież
michael,Michael
hotel,hotel
christmas,Boże Narodzenie
attack,atak
hasn,HAD
round,okrągły
expect,oczekiwać
sing,śpiewać
terrible,straszny
george,Jerzy
bag,torba
history,historia
blue,niebieski
near,w pobliżu
broke,złamał
station,stacja
seriously,poważnie
forever,na zawsze
david,David
frank,szczery
except,z wyjątkiem
thinks,myśli
message,wiadomość
entire,cały
joe,Joe
table,tabela
talked,rozmawiałem
across,przez
rock,głaz
lovely,śliczny
handle,uchwyt
middle,środek
buddy,kumpel
paid,płatny
protect,chronić
using,za pomocą
floor,podłoga
ran,biegł
swear,przeklinać
spend,wydawać
situation,sytuacja
ring,pierścień
anywhere,gdziekolwiek
dangerous,niebezpieczny
bill,rachunek
york,York
army,armia
lead,Ołów
bought,kupił
finished,skończone
fair,sprawiedliwy
sun,słońce
letter,list
fool,głupiec
attention,uwaga
club,Klub
simple,prosty
interesting,ciekawy
space,przestrzeń
test,test
box,skrzynka
group,Grupa
single,pojedynczy
sitting,posiedzenie
marriage,małżeństwo
join,dołączyć
fear,strach
d,D
peace,pokój
forgot,zapomniałem
force,siła
short,krótki
normal,normalna
charlie,Charlie
present,obecny
enjoy,Cieszyć się
mike,mikrofon
crime,przestępczość
horse,koń
ground,grunt
american,amerykański
count,liczyć
area,obszar
charge,opłata
honor,honor
lunch,obiad
miles,mil
radio,radio
idiot,idiota
ball,piłka
surprise,niespodzianka
paper,papier
key,klucz
boat,łódź
quickly,szybko
gold,złoto
bar,bar
fish,ryba
mark,ocena
tom,Tomek
wearing,ma na sobie
crying,płacz
accident,wypadek
government,rząd
eight,osiem
fell,ściąć
cover,okładka
certain,niektórzy
interested,zainteresowany
deep,głęboko
star,gwiazda
sea,morze
agree,zgadzać się
problems,problemy
detective,detektyw
prison,więzienie
major,główny
stick,stick
offer,oferta
difficult,trudny
smart,mądry
personal,osobisty
record,nagrywać
stopped,zatrzymany
hide,ukrywać
whether,czy
bank,Bank
trip,wycieczka
relax,zrelaksować się
america,Ameryka
public,publiczny
list,lista
afternoon,popołudnie
brain,mózg
fix,naprawić
bastard,bękart
proud,dumny
tea,herbata
service,praca
screaming,Krzyczenie
forward,do przodu
angry,zły
park,park
soul,dusza
fighting,walczący
peter,Piotr
rich,bogaty
agent,agent
blow,cios
paul,Paweł
dress,sukienka
mary,Mary
missed,pominięty
scene,scena
killing,zabicie
standing,na stojąco
saved,uratowany
mm,mm
respect,szacunek
killer,zabójca
ice,lód
mess,bałagan
tough,trudny
feels,odczucia
church,kościół
sad,smutny
cell,komórka
drunk,pijany
share,udział
camera,kamera
mm-hmm,MM-HMM
within,w
card,karta
fly,latać
ben,Ben
girlfriend,dziewczyna
laugh,śmiech
smell,zapach
broken,złamany
mum,milczący
honest,uczciwy
often,często
starting,startowy
calls,połączenia
y,y
spent,zużyty
third,trzeci
english,język angielski
visit,odwiedzać
mama,mama
judge,sędzia
window,okno
hungry,głodny
dare,odważyć się
relationship,relacja
moved,przeniósł
prove,udowodnić
private,prywatny
wall,ściana
seat,siedziba
i-i,I-i
position,pozycja
lieutenant,porucznik
realize,realizować
lt,Lt
especially,zwłaszcza
machine,maszyna
walking,pieszy
art,sztuka
pleasure,przyjemność
bloody,krwawy
college,Szkoła Wyższa
french,Francuski
involved,zaangażowany
cry,płakać
became,stał się
lived,żył
impossible,niemożliwe
obviously,oczywiście
neither,żaden
accept,zaakceptować
boyfriend,chłopak
besides,Oprócz
queen,królowa
teacher,nauczyciel
cops,gliny
sake,powód
loves,kocha
carry,nosić
teach,uczyć
apartment,apartament
upset,zdenerwowany
green,zielony
la,la
liked,lubił
cute,Uroczy
evil,zło
professor,profesor
contact,kontakt
joke,żart
cop,policjant
huge,ogromny
holy,święty
store,sklep
jail,więzienie
likes,lubi
lawyer,prawnik
doubt,wątpliwość
continue,Kontynuować
appreciate,doceniać
cat,kot
shop,sklep
driving,napędowy
congratulations,Gratulacje
wrote,napisał
village,wieś
quit,zrezygnować 
field,pole
james,James
wine,wino
decision,decyzja
south,południe
sleeping,spanie
slow,powolny
laughter,śmiech
island,wyspa
glass,szkło
beginning,początek
cash,gotówka
dying,umierający
hundred,sto
whose,którego
difference,różnica
plane,samolot
push,naciskać
continues,trwa
mmm,mmm
singing,śpiewanie
eating,jedzenie
north,północ
mrs,pani
tree,drzewo
madam,Szanowna Pani
gift,prezent
truck,ciężarówka
putting,umieszczanie
bear,niedźwiedź
board,tablica
grab,złapać
beer,piwo
stuck,zablokowany
magic,magia
support,wsparcie
rules,zasady
grunts,chrząknięcie
partner,partner
reach,zasięg
wind,wiatr
colonel,pułkownik
max,Max
immediately,natychmiast
seconds,sekundy
thousand,tysiąc
gives,daje
experience,doświadczenie
cheers,dzięki
victim,ofiara
upon,od
computer,komputer
christ,Chrystus
planet,planeta
promised,Obiecane
bus,autobus
henry,henz
dirty,brudny
search,szukaj
staying,przebywający
dreams,sny
arrest,aresztować
holding,trzymać
suddenly,Nagle
